RCDTS,School Name,District,City,County,District Type,School Type,Grades Served,% Student Enrollment -Male,% Student Enrollment - Female,% Student Enrollment - Non-binary,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Middle Eastern or North African,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Former EL,% Student Enrollment - Never EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,% Student Enrollment - Youth in Care,% Student Enrollment - Migrant,% Student Enrollment - Military,% Teachers - White,% Teachers - Black or African American,% Teachers - Hispanic or Latino,% Teachers - Asian,% Teachers - Native Hawaiian or Other Pacific Islander,% Teachers - American Indian or Alaska Native,% Teachers - Two or More Races,% Teachers - MENA,% Out-of-Field Teachers,% Out-of-Field Teachers - High Poverty Schools,% Out-of-Field Teachers - Low Poverty Schools,% 9th Grade on Track - White,% 9th Grade on Track - Black or African American,% 9th Grade on Track - Hispanic or Latino,% 9th Grade on Track - Asian,% 9th Grade on Track - Native Hawaiian or Other Pacific Islander,% 9th Grade on Track - American Indian or Alaska Native,% 9th Grade on Track - Two or More Races,% 9th Grade on Track - MENA,% 9th Grade on Track - Children with Disabilities,% 9th Grade on Track - IEP,% 9th Grade on Track - EL,% 4-year Institution Remediation - ELA,% CRDC School Related Arrests,% Students Assessed for Giftedness  - White,% Students Assessed for Giftedness  - Black or African American,% Students Assessed for Giftedness  - Hispanic or Latino,% Students Assessed for Giftedness  - Asian,% Students Assessed for Giftedness  - Native Hawaiian or Other Pacific Islander,% Students Assessed for Giftedness  - American Indian or Alaska Native,% Students Assessed for Giftedness  - Two or More Race,% Students Assessed for Giftedness  - MENA,% Students Assessed for Giftedness  - IEP,% Students Assessed for Giftedness  - EL,% Students Identified as Gifted  - White,% Students Identified as Gifted  - Black or African American,% Students Identified as Gifted  - Hispanic or Latino,% Students Identified as Gifted  - Asian,% Students Identified as Gifted  - Native Hawaiian or Other Pacific Islander,% Students Identified as Gifted  - American Indian or Alaska Native,% Students Identified as Gifted  - Two or More Race,% Students Identified as Gifted  - MENA,% Students Identified as Gifted  - IEP,% Students Identified as Gifted  - EL,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - White,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Black or African American,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Hispanic or Latino,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Asian,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Native Hawaiian or Other Pacific Islander,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - American Indian or Alaska Native,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Two or More Race,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - MENA,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - IEP,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - EL,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - White,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Black or African American,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Hispanic or Latino,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Asian,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Native Hawaiian or Other Pacific Islander,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - American Indian or Alaska Native,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Two or More Race,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - MENA,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - IEP,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - EL
21-028-0990-26-0001,Christopher High,Christopher USD 99,Christopher,Franklin,Unit District,High School,9 - 12,56.4,,,93.6,,,,,,,,19.8,16.3,,,,58.4,11.4,,,,100.0,,,,,,,,17.7,,,96.3,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34-049-1170-16-0001,Antioch Comm High School,CHSD 117,Antioch,Lake,High School District,High School,9 - 12,50.4,,,72.2,4.5,17.2,3.0,,,2.8,,20.9,9.5,5.4,5.3,89.3,13.1,,,,,94.9,1.5,,1.1,,,0.2,,2.3,,,93.9,93.3,96.4,,,,87.5,,80.0,71.4,100.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34-049-1170-16-0002,Lakes Community High School,CHSD 117,Lake Villa,Lake,High School District,High School,9 - 12,51.7,48.3,,71.8,3.9,17.4,5.0,,,1.7,,23.0,12.4,6.9,8.0,85.1,9.6,1.3,,,,90.3,0.7,3.5,2.3,,,2.1,,3.1,,,96.6,94.1,96.5,100.0,,,,,92.9,91.5,93.8,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34-049-1280-16-0002,Libertyville High School,CHSD 128,Libertyville,Lake,High School District,High School,9 - 12,51.2,48.8,,70.7,,10.0,11.5,,,5.8,,23.1,10.7,3.5,6.5,90.0,0.9,,,,,94.0,0.8,3.4,1.8,,,,,0.3,,,99.3,100.0,97.8,100.0,,,100.0,,98.9,100.0,100.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34-049-1280-16-0004,Vernon Hills High School,CHSD 128,Vernon Hills,Lake,High School District,High School,9 - 12,53.4,46.6,,49.7,,17.0,23.6,,,6.8,,20.5,11.4,11.0,23.0,65.9,19.1,,,,,91.3,0.9,2.3,5.6,,,,,0.8,,,99.4,,94.4,98.8,,,94.7,,96.7,94.7,98.1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-063-1550-16-0002,Cary-Grove Community High School,CHSD 155,Cary,McHenry,High School District,High School,9 - 12,53.3,46.7,,73.6,1.7,18.9,2.0,,,3.2,,24.7,11.6,9.0,7.1,83.9,24.3,,,,0.8,97.4,,1.3,1.3,,,,,3.9,,,93.1,,93.7,,,,,,85.3,88.0,97.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-063-1550-16-0001,Crystal Lake Central High School,CHSD 155,Crystal Lake,McHenry,High School District,High School,9 - 12,52.2,47.8,,62.6,1.8,29.4,2.9,,,2.9,,21.9,10.8,14.1,12.7,73.3,35.3,1.5,,,1.0,92.6,,1.2,1.2,,,1.6,,1.7,,,97.5,,95.3,,,,100.0,,91.3,88.6,95.7,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-063-1550-16-0003,Crystal Lake South High School,CHSD 155,Crystal Lake,McHenry,High School District,High School,9 - 12,51.2,48.8,,65.8,2.7,24.8,4.5,,,,,22.4,12.2,8.7,13.7,77.6,30.5,,,,1.2,95.2,,2.6,,,,0.9,,2.1,,,97.4,,95.2,100.0,,,,,96.1,100.0,100.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-063-1550-16-0004,Prairie Ridge High School,CHSD 155,Crystal Lake,McHenry,High School District,High School,9 - 12,52.9,47.1,,79.9,,13.3,3.0,,,2.4,,22.3,12.7,4.1,6.4,89.5,23.3,,,,1.1,91.3,,1.4,1.4,,1.4,1.4,,1.3,,,96.8,,94.6,,,,,,94.0,100.0,93.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-016-2180-16-0007,A B Shepard High Sch (Campus),CHSD 218,Palos Heights,Cook,High School District,High School,9 - 12,53.5,,,34.3,24.4,34.2,1.3,,,3.3,2.6,18.1,16.9,12.3,13.5,74.2,66.8,1.3,,,,84.2,7.1,7.9,0.8,,,,,4.4,,,89.8,84.6,91.0,,,,100.0,85.0,83.5,82.8,91.9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-016-2180-16-0001,DD Eisenhower High Sch (Campus),CHSD 218,Blue Island,Cook,High School District,High School,9 - 12,53.4,,,6.8,27.3,63.2,0.6,,,1.8,,20.5,19.9,25.9,17.5,56.6,84.6,3.2,,,,81.0,4.0,14.2,,,,,,4.6,,,86.4,78.2,76.8,,,,,,85.2,87.9,71.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-016-2180-16-0004,H L Richards High Sch(Campus),CHSD 218,Oak Lawn,Cook,High School District,High School,9 - 12,51.4,,,32.4,21.4,33.1,,,,3.1,7.6,14.2,13.2,19.5,16.2,64.3,61.1,1.3,,,,88.5,6.2,5.3,,,,,,3.4,,,93.5,76.8,87.0,,,,76.9,80.0,78.1,81.0,83.1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-022-0940-16-0001,West Chicago Community High School,CHSD 94,West Chicago,Dupage,High School District,High School,9 - 12,51.6,48.4,,20.1,2.4,71.8,3.3,,,2.1,,15.8,11.6,38.3,31.1,30.6,47.6,7.6,,,,85.1,0.4,11.0,2.1,,,1.4,,5.4,,,94.1,90.9,83.2,100.0,,,90.9,,70.9,62.7,76.7,,0.0,14.0,36.8,47.3,15.7,,,,,80.1,63.7,,,2.0,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,
19-022-0990-16-0001,Comm H S Dist 99 - North H S,CHSD 99,Downers Grove,Dupage,High School District,High School,9 - 12,50.6,,,69.4,4.3,14.7,6.6,,,4.6,,25.8,13.8,5.1,8.3,86.6,10.4,0.9,,,,91.5,3.0,4.9,0.7,,,,,4.6,,,97.6,100.0,97.6,100.0,,,95.2,,95.6,91.4,96.8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-022-0990-16-0002,Comm H S Dist 99 - South High Sch,CHSD 99,Downers Grove,Dupage,High School District,High School,9 - 12,51.4,,,54.2,10.9,23.1,7.2,,,4.2,,20.7,13.6,10.3,14.6,75.0,19.3,2.0,,,0.6,93.9,1.1,5.0,,,,,,5.0,,,97.4,85.3,88.4,100.0,,,97.3,,93.2,92.3,87.8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-038-0060-26-0001,Cissna Park Sr High School,Cissna Park CUSD 6,Cissna Park,Iroquois,Unit District,High School,9 - 12,45.8,54.2,,88.5,,,,,,,,24.0,16.7,,,,27.1,,,,,91.3,,,,,,,,25.4,,,100.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-013-0100-26-0002,Clay City High School,Clay City CUSD 10,Clay City,Clay,Unit District,High School,9 - 12,41.4,58.6,,,,,,,,,,22.9,21.4,,,100.0,57.1,24.3,,,,100.0,,,,,,,,19.8,,,71.4,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-020-0150-26-0001,Clinton High School,Clinton CUSD 15,Clinton,Dewitt,Unit District,High School,9 - 12,53.6,46.4,,84.7,,8.5,,,,4.9,,16.3,16.3,,,96.7,50.5,,,,,97.5,2.5,,,,,,,3.6,,,90.5,,,,,,,,90.9,90.9,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-032-0010-26-0001,Coal City High School,Coal City CUSD 1,Coal City,Grundy,Unit District,High School,9 - 12,54.3,45.7,,86.3,,11.1,,,,1.6,,19.2,10.1,,,97.2,28.4,,,,,100.0,,,,,,,,7.1,,,95.3,,96.2,,,,,,93.5,90.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-091-0170-22-0001,Cobden High School,Cobden SUD 17,Cobden,Union,Unit District,High School,9 - 12,45.5,54.5,,56.8,,37.1,,,,,,11.4,11.4,,,71.2,97.0,,,,,96.2,,3.8,,,,,,15.0,,,92.0,,90.9,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41-057-0100-26-0001,Collinsville High School,Collinsville CUSD 10,Collinsville,Madison,Unit District,High School,9 - 12,49.6,50.4,,52.7,13.6,27.7,,,,5.4,,17.9,17.9,15.2,5.3,79.5,65.9,7.7,0.7,,1.6,91.7,2.3,5.2,,0.8,,,,3.9,,,91.8,86.9,84.6,,,,80.0,,75.8,75.8,77.5,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-067-0040-26-0001,Columbia High School,Columbia CUSD 4,Columbia,Monroe,Unit District,High School,9 - 12,51.6,48.4,,92.5,,3.8,,,,1.8,,10.3,10.3,,,99.3,14.6,,,,,100.0,,,,,,,,2.4,,,98.5,,,,,,,,100.0,100.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-082-1960-26-0001,Dupo High School,Community Unit School District No 196,Dupo,Saint Clair,Unit District,High School,9 - 12,49.2,50.8,,81.5,,,,,,9.3,,19.8,14.5,,,97.2,66.5,5.6,,,,81.7,4.6,4.5,,,,,,7.1,,,72.3,,,,,,,,78.6,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-016-2300-13-0002,Amos Alonzo Stagg High School,Cons HSD 230,Palos Hills,Cook,High School District,High School,9 - 12,50.0,,,54.6,3.9,21.7,3.5,,,1.4,14.8,11.5,11.5,15.3,35.8,48.9,29.4,1.4,,,,95.0,1.2,3.2,0.6,,,,,9.2,,,98.0,100.0,91.9,100.0,,,,92.0,94.6,94.6,89.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-016-2300-13-0001,Carl Sandburg High School,Cons HSD 230,Orland Park,Cook,High School District,High School,9 - 12,51.8,,,57.7,6.6,15.3,6.1,,,2.2,11.8,11.6,11.5,10.1,18.9,71.0,19.1,0.7,,,,95.6,0.5,2.7,1.1,,,,,7.0,,,99.1,92.1,100.0,100.0,,,100.0,95.7,98.6,98.6,96.8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-016-2300-13-0003,Victor J Andrew High School,Cons HSD 230,Orland Hills,Cook,High School District,High School,9 - 12,52.2,47.8,,57.4,6.5,16.5,4.2,,,2.9,12.1,12.5,12.5,8.3,12.6,79.1,23.4,0.8,,,,95.8,0.7,2.8,0.7,,,,,14.7,,,96.7,97.4,95.8,100.0,,,92.3,91.4,93.8,93.8,98.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-079-0010-22-0001,Coulterville High School,Coulterville USD 1,Coulterville,Randolph,Unit District,High School,9 - 12,40.6,59.4,,89.1,,,,,,,,23.4,23.4,,,100.0,64.1,25.0,,,,100.0,,,,,,,,0.7,,,91.7,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-101-3200-26-0001,South Beloit Sr High School,County of Winnebago SD 320,South Beloit,Winnebago,Unit District,High School,9 - 12,51.9,48.1,,54.4,5.0,32.6,,,,7.1,,14.2,10.9,13.8,4.2,82.0,61.5,,,,,95.8,,4.2,,,,,,2.6,,,88.6,,73.9,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53-102-1220-17-0001,Metamora High School,County of Woodford School,Metamora,Woodford,High School District,High School,9 - 12,52.9,47.1,,89.9,,3.0,,,,5.6,,10.1,10.1,,,99.4,21.3,,,,2.4,100.0,,,,,,,,13.8,,,98.4,,,,,,92.3,,100.0,100.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-087-003A-26-0001,Cowden-Herrick Jr/Sr High School,Cowden-Herrick CUSD 3A,Cowden,Shelby,Unit District,High School,PK - 12,53.9,46.1,,97.6,,,,,,,,17.0,17.0,,,,63.6,6.1,,,,93.7,,,,,,6.3,,9.8,,,84.2,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-100-0030-26-0001,Crab Orchard High School,Crab Orchard CUSD 3,Marion,Williamson,Unit District,High School,9 - 12,50.7,49.3,,96.1,,,,,,,,21.7,17.8,,,100.0,38.2,9.9,,,,100.0,,,,,,,,9.7,,,92.7,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-099-201U-26-0001,Crete-Monee High School,Crete Monee CUSD 201U,Crete,Will,Unit District,High School,9 - 12,53.0,47.0,,12.0,61.1,20.9,,,,4.9,,18.3,14.6,9.3,3.4,87.3,56.7,5.3,0.7,,1.6,72.9,19.9,7.2,,,,,,3.3,,,92.5,92.7,93.2,,,,93.3,,93.9,92.5,88.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-018-0770-26-0001,Cumberland High School,Cumberland CUSD 77,Toledo,Cumberland,Unit District,High School,9 - 12,56.0,44.0,,95.5,,,,,,,,14.8,14.4,,,,35.4,3.4,,,,100.0,,,,,,,,5.1,,,85.9,,,,,,,,70.6,70.6,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-022-2000-26-0021,Wheaton North High School,CUSD 200,Wheaton,Dupage,Unit District,High School,9 - 12,51.3,48.7,,59.6,6.8,20.0,7.9,,,5.0,0.6,21.1,9.3,13.1,12.6,74.4,29.0,1.7,,,2.0,93.7,1.6,,4.7,,,,,1.6,,,99.2,92.9,97.4,100.0,,,94.4,,96.4,94.4,97.1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-022-2000-26-0020,Wheaton Warrenville South H S,CUSD 200,Wheaton,Dupage,Unit District,High School,9 - 12,53.1,46.9,,60.7,6.5,20.8,5.9,,,5.9,,24.0,12.7,8.4,13.3,78.3,28.4,1.0,,,1.6,92.8,0.8,0.8,4.0,,,1.6,,0.8,,,99.3,89.7,94.0,92.3,,,96.8,,94.8,92.5,86.7,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-022-2010-26-0001,Westmont High School,CUSD 201,Westmont,Dupage,Unit District,High School,9 - 12,50.8,,,50.0,6.1,31.2,6.9,,,,,29.6,14.8,11.6,15.6,72.8,37.8,3.4,,,,90.8,0.6,,,,,8.6,,4.9,,,100.0,,97.4,,,,,,96.7,92.3,100.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-029-0030-26-0001,Cuba Sr High School,CUSD 3 Fulton County,Cuba,Fulton,Unit District,High School,9 - 12,,51.8,,91.2,,,,,,,,19.3,19.3,,,,38.6,,,,,90.5,,,,,,,,24.3,,,96.4,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-045-3000-26-0002,Dundee-Crown High School,CUSD 300,Carpentersville,Kane,Unit District,High School,9 - 12,50.7,,,22.6,4.0,69.3,1.7,,,2.2,,15.2,12.1,33.7,25.0,41.2,71.0,2.1,,,3.6,83.0,2.5,4.7,5.6,,,4.2,,4.7,,,92.5,80.0,69.9,,,,76.9,,78.0,81.1,61.5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-045-3000-26-0003,Hampshire High School,CUSD 300,Hampshire,Kane,Unit District,High School,9 - 12,51.3,,,55.8,4.6,28.1,6.8,,,4.2,,16.6,12.0,10.4,13.0,76.6,31.8,0.9,,,3.5,92.6,,3.3,1.7,,,2.5,,6.0,,,92.7,65.0,85.6,90.9,,,85.0,,85.6,88.2,77.4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-045-3000-26-0004,Harry D Jacobs High School,CUSD 300,Algonquin,Kane,Unit District,High School,9 - 12,52.5,,,56.2,4.2,26.7,8.0,,,4.4,,17.5,12.1,11.6,14.8,73.6,39.9,1.0,,,3.5,90.5,0.7,4.4,1.5,,,3.0,,5.9,,,93.4,95.5,77.4,97.2,,,88.5,,73.8,68.3,72.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-047-3080-26-0002,Oswego East High School,CUSD 308,Oswego,Kendall,Unit District,High School,9 - 12,,51.0,,48.9,11.6,21.2,13.1,,,4.9,,19.4,12.2,7.8,13.4,78.8,23.2,1.1,,,0.6,90.3,2.3,3.2,3.1,,,1.2,,11.6,,,96.8,89.0,90.8,98.9,,,100.0,,90.6,89.6,96.8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-047-3080-26-0001,Oswego High School,CUSD 308,Oswego,Kendall,Unit District,High School,9 - 12,50.6,,,49.0,11.2,31.3,3.9,,,4.5,,23.3,15.7,10.2,10.7,79.1,29.7,1.5,,,0.7,96.2,0.6,2.1,0.6,,,,,15.4,,,97.6,88.6,85.8,84.6,,,91.4,,87.4,87.6,84.3,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-001-0040-26-0001,Unity High School,CUSD 4,Mendon,Adams,Unit District,High School,9 - 12,54.9,45.1,,93.1,,,,,,,,19.4,14.9,,,,39.4,,,,,88.1,,6.0,,,,,,12.8,,,93.0,,,,,,,,,,,,0.0,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-089-2010-26-0001,Dakota Jr Sr High School,Dakota CUSD 201,Dakota,Stephenson,Unit District,High School,7 - 12,50.6,49.4,,90.9,,4.4,,,,,,15.9,11.8,,,99.1,29.7,,,,,91.4,,,,,,,,6.1,,,94.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54-092-1180-24-0022,Danville High School,Danville CCSD 118,Danville,Vermilion,Unit District,High School,9 - 12,49.5,50.5,,35.3,41.2,12.1,,,,10.1,,22.2,16.0,4.5,3.4,92.1,81.9,1.7,0.9,,,91.3,4.3,1.6,0.9,,0.7,1.2,,10.0,,,80.4,76.3,79.4,,,,88.1,,79.7,75.9,88.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-055-0610-25-0036,Eisenhower High School,Decatur SD 61,Decatur,Macon,Unit District,High School,9 - 12,47.7,52.3,,33.3,46.7,6.0,,,,13.0,,19.7,16.6,1.5,1.3,97.2,78.0,,2.1,,,84.9,7.5,1.9,1.9,,1.9,1.9,,8.8,,,66.7,55.2,71.4,,,,88.5,,68.9,73.7,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-055-0610-25-0038,MacArthur High School,Decatur SD 61,Decatur,Macon,Unit District,High School,9 - 12,49.3,50.7,,27.9,50.2,7.6,,,,13.5,,19.0,15.6,4.9,1.7,93.4,72.9,1.1,2.5,,,92.8,1.8,,5.4,,,,,12.5,,,76.8,71.8,88.9,,,,87.2,,89.5,96.9,94.1,,0.0,5.4,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53-090-7010-26-0001,Dee-Mack High School,Deer Creek-Mackinaw CUSD 701,Mackinaw,Tazewell,Unit District,High School,9 - 12,57.4,42.6,,95.2,,,,,,,,11.0,11.0,,,100.0,25.4,,,,,100.0,,,,,,,,3.7,,,100.0,,,,,,,,100.0,100.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-019-4280-26-0011,DeKalb High School,DeKalb CUSD 428,Dekalb,Dekalb,Unit District,High School,9 - 12,50.4,,,34.3,23.0,35.5,1.3,,,5.4,,21.6,15.6,16.9,11.2,71.8,60.3,3.0,,,0.7,88.1,1.4,6.3,1.5,,,2.1,,3.7,,,88.2,65.5,68.0,,,,61.5,,69.2,63.3,62.2,,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-074-0570-26-0001,Deland-Weldon High School,Deland-Weldon CUSD 57,De Land,Piatt,Unit District,High School,9 - 12,44.4,55.6,,91.1,,,,,,,,26.7,22.2,,,100.0,46.7,,,,,83.6,,,,,,8.9,,36.3,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53-090-7030-26-0001,Delavan High School,Delavan CUSD 703,Delavan,Tazewell,Unit District,High School,9 - 12,44.5,55.5,,96.1,,,,,,,,14.8,11.7,,,100.0,29.7,,,,,100.0,,,,,,,,11.8,,,92.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-006-1030-22-0001,DePue High School,DePue USD 103,DePue,Bureau,Unit District,High School,9 - 12,53.0,47.0,,,,90.4,,,,,,13.3,13.3,42.2,41.0,16.9,86.7,,,,,85.4,,14.6,,,,,,16.3,,,,,100.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-025-0300-26-0001,Dieterich Jr/Sr High School,Dieterich CUSD 30,Dieterich,Effingham,Unit District,High School,7 - 12,48.3,51.7,,96.3,,,,,,,,12.5,12.5,,,,35.4,4.8,,,,100.0,,,,,,,,3.9,,,96.6,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-052-1700-22-0001,Dixon High School,Dixon USD 170,Dixon,Lee,Unit District,High School,9 - 12,50.4,49.6,,82.6,2.2,5.5,,,,8.6,,20.6,15.0,,,94.8,42.6,,,,,100.0,,,,,,,,9.5,,,91.4,,,,,,87.5,,75.0,71.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-091-0660-22-0001,Dongola High School,Dongola USD 66,Dongola,Union,Unit District,High School,9 - 12,,,,100.0,,,,,,,,,,,,100.0,,,,,,,,,,,,,,50.0,,,93.8,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-038-0030-26-0001,Donovan Sr High School,Donovan CUSD 3,Donovan,Iroquois,Unit District,High School,9 - 12,52.9,47.1,,85.7,,,,,,,,22.9,22.9,,,95.7,40.0,,,,,62.8,,,,,,,,47.5,,,90.9,,,,,,,,,,,,0.0,96.8,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-073-3000-26-0001,Du Quoin High School,Du Quoin CUSD 300,Du Quoin,Perry,Unit District,High School,PK - 12,51.6,48.4,,85.4,3.7,,,,,7.5,,13.7,13.7,,,,45.4,2.5,,,,97.1,2.9,,,,,,,11.6,,,88.4,,,,,,,,73.3,73.3,,,0.0,100.0,100.0,,,,,100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-072-3230-26-0004,Dunlap High School,Dunlap CUSD 323,Dunlap,Peoria,Unit District,High School,9 - 12,53.7,46.3,,61.9,7.4,4.6,20.3,,,5.6,,17.1,9.1,5.0,10.2,84.8,18.4,,,,,92.2,1.3,2.5,1.3,,,,,6.6,,,90.7,77.1,85.7,95.2,,,79.2,,80.7,82.8,83.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-022-0880-16-0001,Addison Trail High School,DuPage HSD 88,Addison,Dupage,High School District,High School,9 - 12,50.7,,,21.4,2.7,69.6,4.4,,,1.4,,19.1,16.3,32.7,23.7,43.6,61.9,3.1,,,,81.7,2.3,14.5,1.5,,,,,5.5,,,98.9,,90.1,95.0,,,,,84.7,83.6,85.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
