GEOID,median_hh_income,total_n_hh,hh_under_0.5_pov,hh_between_0.5_0.74_pov,hh_between_0.75_0.99_pov,hh_between_1.00_to_1.24_pov,hh_between_1.25_to_1.49_pov,hh_between_1.50_to_1.74_pov,hh_between_1.75_to_1.84_pov,hh_between_1.85_to_1.99_pov,hh_between_2.00_to_2.99_pov,hh_between_3.00_to_3.99_pov,hh_between_4.00_to_4.99_pov,hh_between_5.00_and_over_pov,year,pov_share_under_1_00
17031827400,17633,717,48,26,24,48,80,55,0,26,147,23,122,118,2016,0.13668061366806136
17031030800,72232,871,14,0,0,13,4,25,22,0,66,27,141,559,2016,0.016073478760045924
17031050500,105234,1467,10,0,15,0,45,0,15,0,119,165,174,924,2016,0.017041581458759374
17031062800,143424,662,0,0,0,7,13,0,0,0,6,17,45,574,2016,0
17031063400,88340,268,0,0,0,0,0,8,0,0,16,16,9,219,2016,0
17031070500,128523,621,0,0,0,0,19,0,0,3,7,18,7,567,2016,0
17031071600,129821,394,7,5,6,4,5,0,0,0,9,28,19,311,2016,0.045685279
17031071800,136813,669,9,0,0,0,0,33,0,33,28,55,29,482,2016,0.013452914798206279
17031080100,105492,1456,0,0,0,29,31,0,0,0,19,44,19,1314,2016,0
17031080400,-666666666,838,234,24,110,48,19,19,0,0,53,7,0,324,2016,0.43914081145584727
17031081300,87258,1229,0,0,57,20,46,0,0,0,59,115,26,906,2016,0.046379170056956874
17031808800,117163,901,41,0,0,0,8,0,9,14,17,68,27,717,2016,0.045504994
17031809200,49268,1048,77,34,79,35,51,33,65,51,251,113,100,159,2016,0.18129770992366412
17031810501,69702,1290,34,10,21,27,30,60,5,21,209,192,183,498,2016,0.050387596899224806
17031811100,42125,1484,82,12,85,116,125,23,0,22,321,195,104,399,2016,0.12061994609164421
17031811200,60277,1480,51,6,56,49,18,72,20,75,313,231,274,315,2016,0.076351351
17031812500,51853,803,39,0,28,0,19,50,0,47,44,97,99,380,2016,0.083437111
17031812700,63900,736,38,26,0,21,0,0,0,0,44,66,134,407,2016,0.086956522
17031814000,44071,1162,75,43,77,67,76,101,57,71,246,138,121,90,2016,0.16781411359724613
17031815000,46232,915,39,51,24,87,48,58,78,61,120,131,46,172,2016,0.12459016393442623
17031815400,67827,1217,17,61,42,11,68,11,0,0,184,139,216,468,2016,0.098603122
17031816600,40083,1020,22,84,73,111,33,72,19,48,312,87,69,90,2016,0.17549019607843136
17031817101,44781,1118,35,99,0,8,57,115,7,27,212,270,120,168,2016,0.11985688729874776
17031817200,39965,1057,102,30,27,65,55,46,6,49,331,163,92,91,2016,0.15042573320719016
17031817400,53668,894,65,24,20,21,24,65,72,46,268,99,34,156,2016,0.12192393736017897
17031819900,152209,955,0,10,11,18,0,0,0,0,41,56,78,741,2016,0.021989529
17031820501,62019,1594,35,75,47,41,10,66,14,98,257,260,193,498,2016,0.098494354
17031822400,39534,1564,140,157,56,51,140,12,68,59,299,158,202,222,2016,0.22570332480818414
17031822802,68516,901,6,7,9,7,39,11,17,0,133,241,128,303,2016,0.024417314
17031700401,70018,1397,28,16,67,32,73,6,15,62,212,317,179,390,2016,0.079455977
17031700402,67202,1062,65,12,92,19,0,27,11,58,172,199,109,298,2016,0.1591337099811676
17031700501,67665,1706,104,0,0,8,56,133,0,0,318,330,200,557,2016,0.060961313
17031700502,92778,800,9,19,28,11,10,9,0,0,81,183,73,377,2016,0.07
17031730201,31867,1569,53,175,126,19,157,213,0,93,267,113,94,259,2016,0.22562141491395793
17031730202,53487,758,49,8,6,82,19,44,7,29,151,108,103,152,2016,0.083113456
17031760801,49517,1091,10,30,97,60,114,32,0,31,36,222,247,212,2016,0.12557286892758937
17031817102,53227,898,27,9,92,20,102,15,0,37,196,172,88,140,2016,0.14253897550111358
17031822301,61397,1044,28,36,33,33,18,47,26,116,163,124,195,225,2016,0.092911877
17031822602,60221,1801,70,46,6,47,59,150,51,61,187,230,258,636,2016,0.067740144
17031823801,73500,1374,15,0,0,16,29,0,0,12,103,234,104,861,2016,0.010917030567685589
17031824105,102891,1793,19,10,36,18,37,11,0,16,149,188,303,1006,2016,0.036252091
17031824503,61384,1681,12,16,15,18,17,17,30,35,255,238,175,853,2016,0.025580012
17031400400,31938,416,54,43,45,56,18,55,0,15,33,37,28,32,2016,0.34134615384615385
17031420800,29688,490,106,26,33,29,55,6,26,13,69,50,10,67,2016,0.336734694
17031805501,95179,970,17,0,0,8,33,3,0,14,84,91,140,580,2016,0.017525773
17031805802,83529,1279,17,8,0,33,9,22,10,70,119,102,172,717,2016,0.019546520719311962
17031320100,109243,2773,61,0,0,0,74,0,0,24,99,186,89,2240,2016,0.021997836278398845
17031330100,92179,3882,158,43,46,62,35,77,0,0,76,305,72,3008,2016,0.063626996
17031010300,37515,987,61,48,25,32,73,57,59,0,171,154,31,276,2016,0.13576494427558258
17031050800,105000,306,8,6,0,0,0,0,0,6,16,25,25,220,2016,0.045751634
17031050900,77500,377,0,3,11,7,0,0,17,4,53,49,22,211,2016,0.037135279
17031051100,118750,322,6,0,10,16,0,5,0,0,0,8,19,258,2016,0.049689440993788817
17031570300,44706,1303,71,129,58,72,81,64,66,15,238,269,110,130,2016,0.19800460475825019
17031611500,27622,617,17,92,54,51,106,40,44,37,115,35,5,21,2016,0.26418152350081037
17031611700,26985,287,46,17,47,17,5,6,10,12,103,0,6,18,2016,0.3832752613240418
