school,year,D_black_white,D_lowincome_notlowincome,D_white_hispanic
Hyde Park Academy High School,2024,0.7885703578630185,0.5226036612987716,0.5984771053748413
Hyde Park Academy High School,2025,0.7828371078077657,0.5053128806800504,0.5947474157648664
Hyde Park Academy High School    ,2016,0.7582594210265702,0.575559100801645,0.6026948148460517
Hyde Park Academy High School    ,2017,0.7865127144466507,0.6084814665314048,0.6303904112872264
IHSCA Charter High School,2018,0.7864616524779631,0.5877897656269258,0.6230274556540557
IHSCA Charter High School,2019,0.7839074603594075,0.5542569409271805,0.6247704774800023
IHSCA Charter High School,2020,0.7873785595622814,0.5458890801078016,0.6231312056700935
IHSCA Charter High School,2021,0.7967067793961019,0.5492514836824691,0.6148661607598671
IHSCA Charter High School,2022,0.7965876587239,0.5284115178179017,0.6101835313650843
IHSCA Charter High School,2023,0.7939227726308796,0.5118302351061063,0.6030007625551171
IHSCA Charter High School,2024,0.7885703578630185,0.5226036612987716,0.5984771053748413
IHSCA Charter High School,2025,0.7828371078077657,0.5053128806800504,0.5947474157648664
IHSCA Charter High School        ,2016,0.7582594210265702,0.575559100801645,0.6026948148460517
IHSCA Charter High School        ,2017,0.7865127144466507,0.6084814665314048,0.6303904112872264
IJLA Charter High School,2018,0.7864616524779631,0.5877897656269258,0.6230274556540557
IJLA Charter High School,2019,0.7839074603594075,0.5542569409271805,0.6247704774800023
IJLA Charter High School,2020,0.7873785595622814,0.5458890801078016,0.6231312056700935
IJLA Charter High School,2021,0.7967067793961019,0.5492514836824691,0.6148661607598671
IJLA Charter High School,2022,0.7965876587239,0.5284115178179017,0.6101835313650843
IJLA Charter High School,2023,0.7939227726308796,0.5118302351061063,0.6030007625551171
IJLA Charter High School,2024,0.7885703578630185,0.5226036612987716,0.5984771053748413
IJLA Charter High School,2025,0.7828371078077657,0.5053128806800504,0.5947474157648664
IJLA Charter High School         ,2016,0.7582594210265702,0.575559100801645,0.6026948148460517
IJLA Charter High School         ,2017,0.7865127144466507,0.6084814665314048,0.6303904112872264
Infinity Math  Science & Tech ,2021,0.7967067793961019,0.5492514836824691,0.6148661607598671
Infinity Math  Science & Tech HS,2018,0.7864616524779631,0.5877897656269258,0.6230274556540557
Infinity Math  Science & Tech HS,2019,0.7839074603594075,0.5542569409271805,0.6247704774800023
Infinity Math  Science & Tech HS,2020,0.7873785595622814,0.5458890801078016,0.6231312056700935
Infinity Math  Science & Tech HS,2022,0.7965876587239,0.5284115178179017,0.6101835313650843
Infinity Math  Science & Tech HS,2023,0.7939227726308796,0.5118302351061063,0.6030007625551171
Infinity Math  Science & Tech HS,2024,0.7885703578630185,0.5226036612987716,0.5984771053748413
Infinity Math  Science & Tech HS,2025,0.7828371078077657,0.5053128806800504,0.5947474157648664
Infinity Math  Science & Tech HS ,2016,0.7582594210265702,0.575559100801645,0.6026948148460517
Infinity Math  Science & Tech HS ,2017,0.7865127144466507,0.6084814665314048,0.6303904112872264
Intrinsic 2 Charter High Schoo,2021,0.7967067793961019,0.5492514836824691,0.6148661607598671
Intrinsic 2 Charter High School,2020,0.7873785595622814,0.5458890801078016,0.6231312056700935
Intrinsic 2 Charter High School,2022,0.7965876587239,0.5284115178179017,0.6101835313650843
Intrinsic 2 Charter High School,2023,0.7939227726308796,0.5118302351061063,0.6030007625551171
Intrinsic 2 Charter High School,2024,0.7885703578630185,0.5226036612987716,0.5984771053748413
Intrinsic 2 Charter High School,2025,0.7828371078077657,0.5053128806800504,0.5947474157648664
Intrinsic Charter High School,2018,0.7864616524779631,0.5877897656269258,0.6230274556540557
Intrinsic Charter High School,2019,0.7839074603594075,0.5542569409271805,0.6247704774800023
Intrinsic Charter High School,2020,0.7873785595622814,0.5458890801078016,0.6231312056700935
Intrinsic Charter High School,2021,0.7967067793961019,0.5492514836824691,0.6148661607598671
Intrinsic Charter High School,2022,0.7965876587239,0.5284115178179017,0.6101835313650843
Intrinsic Charter High School,2023,0.7939227726308796,0.5118302351061063,0.6030007625551171
Intrinsic Charter High School,2024,0.7885703578630185,0.5226036612987716,0.5984771053748413
Intrinsic Charter High School,2025,0.7828371078077657,0.5053128806800504,0.5947474157648664
Intrinsic Charter High School    ,2016,0.7582594210265702,0.575559100801645,0.6026948148460517
Intrinsic Charter High School    ,2017,0.7865127144466507,0.6084814665314048,0.6303904112872264
J B Conant High School,2018,0.7864616524779631,0.5877897656269258,0.6230274556540557
J B Conant High School,2019,0.7839074603594075,0.5542569409271805,0.6247704774800023
